Object;Prov;Local
BLA_1;Birni_Lafyia;Local
BLA_2;Birni_Lafyia;Local
BLA_3;Birni_Lafyia;Local
BLA_4;Birni_Lafyia;Local
BLA_5;Birni_Lafyia;Local
BLA_6;Lafyia_Exot;Imp
BLA_7;Lafyia_Exot;Imp
BLA_8;Lafyia_Exot;Imp
BLA_9;Birni_Lafyia;Local
BLA_10;Lafyia_Exot;Imp
BLA_11;Birni_Lafyia;Local
BLA_12;Birni_Lafyia;Local
BLA_13;Birni_Lafyia;Local
BLA_14;Birni_Lafyia;Local
BLA_15;Birni_Lafyia;Local
BLA_16;Birni_Lafyia;Local
BLA_17;Birni_Lafyia;Local
BLA_18;Birni_Lafyia;Local
BLA_19;Birni_Lafyia;Local
BLA_20;Birni_Lafyia;Local
BLA_21;Birni_Lafyia;Local
BLA_22;Birni_Lafyia;Local
BLA_23;Birni_Lafyia;Local
BLA_24;Birni_Lafyia;Local
BLA_25;Birni_Lafyia;Local
BLA_26;Birni_Lafyia;Local
BLA_27;Birni_Lafyia;Local
BLA_28;Lafyia_Exot;Imp
BLA_29;Lafyia_Exot;Imp
BLA_30;Lafyia_Exot;Imp
BLA_31;Lafyia_Exot;Imp
BLA_32;Lafyia_Exot;Imp
BLA_33;Lafyia_Exot;Imp
BLA_34;Lafyia_Exot;Imp
BLA_35;Lafyia_Exot;Imp
BLA_36;Lafyia_Exot;Imp
BLA_37;Lafyia_Exot;Imp
